Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,VicSat,GerDis,TriLobed,ClaPer,Bare,Step,GalPar,Medicago,FuzzyGreen,CerGlo,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,2,,2,3,,1,3,,4,,,,,3,,1,2,,4,2,,,,,,,,,,,,
,,,,10,2,4,2,,2,3,,1,3,,5,,1,,,2,,,2,,3,2,1,1,,2,,,,,,,,
,,,,11,3,4,2,,,4,,2,,,4,2,1,,,3,1,1,,,3,,2,2,,,,,2,,,,,
,,,,12,4,4,1,,2,3,,2,2,,4,,,,,3,1,2,,,3,2,,,3,,,,2,,1,,,
,,,,13,5,4,2,,3,2,,1,3,,5,2,1,1,,2,,,,,3,2,,,2,,,,,,,,,
,,,,14,6,4,3,,3,3,,1,,1,4,2,,1,3,2,,2,,,2,1,,2,2,,,,1,,,1,,
,,,,15,7,4,2,,3,4,,1,,2,4,3,1,,2,3,,1,,,,2,,1,2,,,,1,,,,,
,,,,16,8,4,,,2,4,2,,,,5,,1,1,,3,,2,,,,2,,2,,,,,,,2,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,TaeCap,BriMin,CynEch,AirCar,VulMyu,HypGla,Torilis,GalPar,PetDub,Onagraceae,Sherardia,EupSpa,ClaPur,LinBic,TriDub,TriHir,VicSat,CarPac,Bare,Gopher,Navarretia,TriHya,Filago,LolMul,BroDia,Oak,,,,
SFREC,5/7/2017,2,2,1,1,5,,,3,1,2,3,,5,2,1,,3,2,,,2,4,2,2,,,,1,1,,,,,,,,
,,,,2,2,5,,,3,2,2,3,,5,2,,,3,1,,2,2,4,2,1,,,,,,,,,,,,,
,,,,3,3,5,2,2,4,,2,,,5,3,1,,3,2,,2,,2,,2,3,,,,,,,,,,,,
,,,,4,4,5,2,3,4,2,2,,1,4,2,1,,2,,2,2,,2,2,2,,,,,,,,,,,,,
,,,,5,5,5,3,2,4,2,2,1,,4,2,,,3,,2,,,3,2,,,,,,,1,,,,,,,
,,,,6,6,5,2,2,4,2,,,,4,3,,,3,,2,3,,,1,2,2,,,1,,1,,,,,,,
,,,,7,7,5,2,2,3,,,1,,3,2,,,5,,,,,,2,,,,,,,,2,,,,,,
,,,,8,8,5,2,3,4,,,,,3,3,,,4,,,,,,2,,,,,,,,3,,,,,,
,,,,9,1,6,2,3,3,2,,2,,5,2,1,,3,1,2,,1,4,1,,,,,,,,,2,,,,,
,,,,10,2,6,2,1,3,2,1,1,,5,3,,,3,2,2,,2,3,2,,,,,,,,1,,,,,,
,,,,11,3,6,,2,3,2,,1,,5,2,,,3,1,,2,,3,2,,,,,,,,,2,,,,,
,,,,12,4,6,,,4,2,2,,,4,2,,,2,2,2,2,,3,,,,,,,,,,1,,,,,
,,,,13,5,6,1,3,4,2,,,,5,2,,,3,,1,2,,2,2,,,,,,,,1,,,,,,
,,,,14,6,6,3,2,3,1,2,1,,3,2,1,,4,,2,2,,,,,,,,,,,,,,,,,
,,,,15,7,6,2,2,3,1,,1,,5,3,,,3,,1,,,,2,,3,,,,,,,,,,,,
,,,,16,8,6,1,2,3,1,,,,3,3,,,3,1,,,,,2,,4,,,,,,3,,2,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,TaeCap,BriMin,CynEch,AirCar,VulMyu,HypGla,Torilis,GalPar,Onagraceae,Sherardia,EupSpa,ClaPur,PetDub,LinBic,TriDub,TriHir,VicSat,CarPac,Bare,Gopher,BroDia,Navarretia,TriHya,LoLMul,,,,,,
SFREC,5/7/2017,2,2,1,1,7,1,3,4,2,2,2,,4,1,,3,,,,,2,4,,2,,,,,,,,,,,,,
,,,,2,2,7,2,2,3,3,2,3,,5,2,,3,2,1,2,,1,3,,,,,,2,,,,,,,,,
,,,,3,3,7,1,2,4,2,2,2,,5,2,,3,2,1,2,,,3,2,,,,,,,,,,,,,,
,,,,4,4,7,2,,3,1,,,2,5,1,1,2,1,,2,,,,2,2,,3,3,,1,,,,,,,,
,,,,5,5,7,1,,3,,2,1,,5,,,3,1,1,,,,4,,2,,,,,,,,,,,,,
,,,,6,6,7,1,2,3,2,2,1,2,5,,,3,,,,,,3,,,,,,1,,,,,,,,,
,,,,7,7,7,2,2,3,,2,,,4,,1,3,1,1,,,,2,,,3,,,2,,2,2,,,,,,
,,,,8,8,7,2,1,3,,,,,3,,,4,,1,,,,2,2,2,4,,,,,,2,,,,,,
,,,,9,1,8,2,3,3,2,2,3,3,5,,1,3,1,,,,,4,,,,,,,,,,,,,,,
,,,,10,2,8,2,2,3,1,2,3,,4,2,,3,,,,,1,5,,,,,,,1,,1,,,,,,
,,,,11,3,8,2,2,4,1,2,3,2,4,1,,3,,1,,,,6,,,,,,,,,,,,,,,
,,,,12,4,8,2,2,3,1,2,1,2,5,,1,3,,,3,,,5,,,,,,,,,,,,,,,
,,,,13,5,8,2,3,3,3,1,2,2,5,2,,3,1,1,2,,,5,,,,,,,,,2,,,,,,
,,,,14,6,8,2,3,3,3,,,2,5,2,,3,,,,,,5,,2,,,,2,,,,,,,,,
,,,,15,7,8,1,2,1,,2,,,3,3,,3,2,,,,,4,,,3,,,3,1,,3,,,,,,
,,,,16,8,8,2,2,,,,,1,3,2,1,4,,1,,,,4,,2,3,,,,,,3,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,TaeCap,BriMin,AirCar,CynEch,HypGla,TriHya,PetDub,AnaArv,TriHir,LotusSp,VicSat,GalPar,VulMyu,UnkGrass,BroSter,,,,,,,,,,,,,,
SFREC,5/9/2017,3,1,1,1,1,2,,,3,2,2,,5,,1,,,1,1,1,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,2,2,3,3,3,,4,,,,,,2,1,,,,,,,,,,,,,,,,,
,,,,3,3,1,2,2,1,2,3,3,,5,,2,,,3,2,1,1,,,,,,,,,,,,,,,,
,,,,4,4,1,2,2,2,,2,3,,5,,,1,,,1,1,2,,,,,,,,,,,,,,,,
,,,,5,5,1,1,2,2,,2,3,1,5,,,,,3,,2,2,,,,,,,,,,,,,,,,
,,,,6,6,1,1,2,2,,2,3,,5,2,3,,,,2,1,2,,,,,,,,,,,,,,,,
,,,,7,7,1,2,2,2,2,2,2,,5,1,3,,,,,,,1,,,,,,,,,,,,,,,
,,,,8,8,1,2,3,,,2,3,2,5,,2,,,,,,1,,,,,,,,,,,,,,,,
,,,,9,1,2,2,,,4,3,3,,4,,2,,,,,1,,,,,,,,,,,,,,,,,
,,,,10,2,2,2,1,,3,3,3,,4,2,3,,,,,,2,1,1,,,,,,,,,,,,,,
,,,,11,3,2,,3,2,,2,3,,4,,2,2,,,2,2,,,1,,,,,,,,,,,,,,
,,,,12,4,2,2,2,3,1,2,3,,4,,1,,2,2,2,2,,,,,,,,,,,,,,,,,
,,,,13,5,2,1,2,3,,2,3,,5,,1,,,3,2,1,,,,,,,,,,,,,,,,,
,,,,14,6,2,2,2,2,,1,4,,4,,2,,,,3,1,,,,,,,,,,,,,,,,,
,,,,15,7,2,1,2,3,,1,3,,5,,1,,2,3,2,1,,,,,,,,,,,,,,,,,
,,,,16,8,2,1,2,2,1,,,1,5,,,,3,3,2,1,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,BriMin,AirCar,CynEch,VulMyu,HypGla,PetDub,TriHya,AnaArv,TriHir,LotusSp,VicSat,GalPar,Unk Grass,Sherardia,Torilis,AveBar,SpkiyHypochaeris,,,,,,,,,,
SFREC,5/9/2017,3,1,1,1,3,2,1,,,,3,2,,,4,2,2,,,,2,1,,1,,,,,,,,,,,,,
,,,,2,2,3,1,3,2,,3,3,3,,,4,2,,,,,2,2,,,,,,,,,,,,,,,
,,,,3,3,3,2,3,3,,,2,3,,,4,2,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,1,3,3,,,2,3,2,,5,,,,,,2,,,,,,,,,,,,,,,,
,,,,5,5,3,1,2,2,,,2,2,,,5,,,2,,3,2,1,,,2,1,,,,,,,,,,,
,,,,6,6,3,1,2,2,,,2,2,,,5,,,,,3,2,,,,2,,,,,,,,,,,,
,,,,7,7,3,1,2,3,,2,2,3,,,5,,,,2,2,2,1,,,2,,,,,,,,,,,,
,,,,8,8,3,1,2,3,,2,2,3,,,5,2,,1,2,3,2,2,,,,,,,,,,,,,,,
,,,,9,1,4,2,1,2,,,1,3,,,5,2,,,2,,,,,,,,,,,,,,,,,,
,,,,10,2,4,,3,2,,1,2,3,,,5,1,,,,1,2,2,,,,,,,,,,,,,,,
,,,,11,3,4,,3,3,,1,2,2,,,5,2,,,,,2,1,,,1,,,,,,,,,,,,
,,,,12,4,4,,3,2,,,2,2,,,5,2,,,,,,1,,,,1,,,,,,,,,,,
,,,,13,5,4,,3,2,,,1,2,,,5,,,,1,3,,1,,,,2,,,,,,,,,,,
,,,,14,6,4,1,3,2,,,1,2,,,5,,,,2,4,,2,,,,2,,,,,,,,,,,
,,,,15,7,4,,3,2,,,2,3,1,,5,2,,2,2,4,,1,,,,2,1,,,,,,,,,,
,,,,16,8,4,2,2,3,,,2,3,1,,5,2,,,3,3,2,1,,,,1,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,BriMin,AirCar,CynEch,VulMyu,AveBar,HypGla,PetDub,TriHya,AnaArv,TriHir,LotusSp,VicSat,GalPar,UnkGrass,Sherardia,Torilis,SpikyHyp,,,,,,,,,,
SFREC,5/9/2017,3,1,1,1,5,2,,2,,,2,4,,,,5,1,,,,,,1,,,,,,,,,,,,,,
,,,,2,2,5,,3,2,,,2,2,,,,5,,,,,,2,1,,,,,,,,,,,,,,
,,,,3,3,5,,3,3,,,1,3,,,,5,1,,,,2,2,2,,,2,,,,,,,,,,,
,,,,4,4,5,,2,3,,1,1,2,,,2,5,,,,2,3,2,1,,,,,,,,,,,,,,
,,,,5,5,5,,3,,,,1,2,,,2,5,,,,3,3,2,1,,,1,,,,,,,,,,,
,,,,6,6,5,,4,,,,2,2,,,2,5,2,2,,3,4,2,1,,,,,,,,,,,,,,
,,,,7,7,5,1,2,2,,,2,3,,,1,5,2,3,2,3,2,2,1,,,,,,,,,,,,,,
,,,,8,8,5,2,3,2,2,,2,3,2,,,5,,,,,2,,1,,,,,,,,,,,,,,
,,,,9,1,6,2,,2,,,2,4,,2,,5,2,,,,,,1,,,,,,,,,,,,,,
,,,,10,2,6,1,2,2,,,2,3,,,,5,2,,,,,2,2,,,,,,,,,,,,,,
,,,,11,3,6,1,2,,,,1,2,,,,4,2,,,3,,2,,,,,,,,,,,,,,,
,,,,12,4,6,1,2,2,,,1,3,,1,,5,2,,,,2,2,,,,1,,,,,,,,,,,
,,,,13,5,6,1,2,2,,,1,2,1,,,5,,,,3,4,2,,,,,,,,,,,,,,,
,,,,14,6,6,1,3,2,,,2,2,,,1,5,,,,3,3,,2,,,,,,,,,,,,,,
,,,,15,7,6,,3,2,,,2,2,2,1,,5,2,,,3,2,,2,,,1,,,,,,,,,,,
,,,,16,8,6,1,2,1,,,,2,,,,6,2,,1,3,3,,1,,,1,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,BriMin,AirCar,CynEch,VulMyu,AveBar,HypGla,PetDub,TriHya,AnaArv,TriHir,Lotus Sp,VicSat,GalPar,UnkGrass,Sherardia,Torilis,SpikyHyp,Rock,Longawn Brome,,,,,,,,
SFREC,5/9/2017,3,1,1,1,7,1,,2,,,2,2,,1,,6,1,,,,,1,,,,,,,,,,,,,,,
,,,,2,2,7,,,2,1,,2,2,,,,5,2,,,,2,,1,,,1,,,,,,,,,,,
,,,,3,3,7,,2,2,,,1,3,,,,5,2,,,1,2,2,1,,,,,,,,,,,,,,
,,,,4,4,7,1,3,2,,,2,2,,,,5,,,,,2,2,1,,,,,,,,,,,,,,
,,,,5,5,7,1,3,2,1,,2,3,,,,5,2,,,,3,2,,,,,,,,,,,,,,,
,,,,6,6,7,1,2,3,,1,,1,,,,5,2,,,3,3,,1,,,1,,,,,,,,,,,
,,,,7,7,7,2,2,2,,,,1,,,,5,2,,,4,2,2,1,,,1,,3,,,,,,,,,
,,,,8,8,7,2,1,2,,2,2,2,,,,5,2,,,4,2,2,1,,,,,,,,,,,,,,
,,,,9,1,8,2,,2,1,,2,2,,1,,4,2,,,,2,2,1,,,1,,,4,,,,,,,,
,,,,10,2,8,1,,2,1,,2,2,,,,5,2,,,,3,2,1,,,1,,,4,,,,,,,,
,,,,11,3,8,1,3,2,,,2,2,,,,5,2,,,1,3,2,2,,,,,,,,,,,,,,
,,,,12,4,8,2,3,2,1,,1,3,,,,5,1,,,,3,3,1,,,,,,1,,,,,,,,
,,,,13,5,8,2,2,3,2,,2,2,,,,5,2,,,2,3,2,,,,,,,,,,,,,,,
,,,,14,6,8,2,,3,,,,,,,,6,2,,1,4,,2,,,,,,,,,,,,,,,
,,,,15,7,8,2,2,2,,,,1,,,,6,2,2,,3,2,2,,,,1,,,,,,,,,,,
,,,,16,8,8,3,2,2,,,,,,,,5,2,,,3,,3,2,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,BriMin,AirCar,CynEch,VulMyu,AveBar,HypGla,PetDub,TriHya,AnaArv,TriHir,Lotus Sp,VicSat,GalPar,Torilis,,,,,,,,,,,,,
SFREC,5/9/2017,3,2,1,1,1,3,3,3,,3,2,2,,2,,6,,,,2,,,,,,,,,,,,,,,,,
,,,,2,2,1,3,3,2,,3,2,3,,2,,5,,,,2,,,1,,,,,,,,,,,,,,
,,,,3,3,1,5,3,,,2,1,3,1,2,,4,,,,1,,,1,,,,,,,,,,,,,,
,,,,4,4,1,3,2,,1,,1,2,,4,,4,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,4,,1,1,2,1,2,2,,,6,,2,,,,,,1,,,,,,,,,,,,,
,,,,6,6,1,3,,2,1,1,,2,,,,6,2,2,,,,,1,,,,,,,,,,,,,,
,,,,7,7,1,4,,3,,2,,1,1,1,,5,,,,1,2,,1,1,,,,,,,,,,,,,
,,,,8,8,1,4,3,2,,2,,2,1,2,,6,,2,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,3,2,2,,4,3,3,,,,5,2,2,,,2,,,,,,,,,,,,,,,,
,,,,10,2,2,3,3,,,5,3,3,,,,2,,2,,,,,1,,,,,,,,,,,,,,
,,,,11,3,2,4,1,,,5,3,3,,,,2,,2,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,5,3,2,,2,3,3,,,,2,,2,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,3,4,2,,,2,2,,2,,6,3,,,,,1,,,,,,,,,,,,,,,
,,,,14,6,2,4,,2,,,,1,,,,5,,2,,,2,,1,1,,,,,,,,,,,,,
,,,,15,7,2,4,1,3,,2,,2,,,,6,1,2,,,,,,1,,,,,,,,,,,,,
,,,,16,8,2,5,2,,,2,,2,,,,5,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,BriMin,AirCar,CynEch,VulMyu,AveBar,HypGla,PetDub,TriHya,AnaArv,TriHir,Lotus Sp,VicSat,GalPar,UnkGrass,Sherardia,Torilis,EroCic,LolMul,,,,,,,,,
SFREC,5/9/2017,3,2,1,1,3,1,,,,3,2,3,,,,6,2,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,4,2,,3,3,3,,,,6,3,,1,,,,,,,,1,,,,,,,,,,
,,,,3,3,3,2,2,2,2,5,3,3,,,,3,,,,,2,,,,,,,,,,,,,,,,
,,,,4,4,3,3,3,2,2,,3,4,,,,5,3,,,,,,2,,,,,,,,,,,,,,
,,,,5,5,3,4,1,2,3,,2,3,,,,5,2,,,1,2,,1,,,,,,,,,,,,,,
,,,,6,6,3,4,2,2,3,1,,2,1,2,,4,,,,2,2,,1,,,,,1,,,,,,,,,
,,,,7,7,3,4,2,2,3,2,,2,,,,6,,,,2,,,,,,1,,,,,,,,,,,
,,,,8,8,3,5,2,,2,3,,1,1,,,5,,2,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,,3,2,,2,2,3,,,1,6,,,2,2,3,,,,,,,,,,,,,,,,
,,,,10,2,4,1,3,2,,,3,3,,,1,5,,,2,2,,1,,,,,,,,,,,,,,,
,,,,11,3,4,2,2,3,3,3,3,3,,,,5,2,,,,2,,,,,,,,,,,,,,,,
,,,,12,4,4,3,2,3,3,,,2,,,,6,2,,,2,1,2,1,,,,,,,,,,,,,,
,,,,13,5,4,4,1,2,3,,2,2,3,1,,5,,,,2,2,,,,,1,,,,,,,,,,,
,,,,14,6,4,4,,2,2,3,,2,2,,,4,,,,2,,,1,,,,,,,,,,,,,,
,,,,15,7,4,3,,,2,4,,2,,,,5,,2,,2,,,,,,,,,,,,,,,,,
,,,,16,8,4,4,,,3,4,,3,2,,,6,,,,2,2,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,BriMin,AirCar,CynEch,VulMyu,AveBar,HypGla,PetDub,TriHya,AnaArv,TriHir,LotusSp,VicSat,GalPar,Torilis,LolMul,Sherardia,,,,,,,,,,,
SFREC,5/9/2017,3,2,1,1,5,1,3,2,,,2,3,,,2,6,,,2,,,2,1,,,,,,,,,,,,,,
,,,,2,2,5,1,2,3,1,,2,3,,,2,5,,2,2,2,,2,1,,,,,,,,,,,,,,
,,,,3,3,5,1,2,2,2,,1,4,,,2,6,,,2,,,,,,,,,,,,,,,,,,
,,,,4,4,5,3,,2,2,,2,2,,,,6,,2,1,,2,2,1,,,,,,,,,,,,,,
,,,,5,5,5,3,,2,3,,,2,3,,,6,2,,,,2,2,1,,,,,,,,,,,,,,
,,,,6,6,5,4,2,,2,3,,3,3,,,5,,2,,,1,2,1,,,1,,,,,,,,,,,
,,,,7,7,5,4,,,,4,1,2,1,,,5,,2,,,,,1,,,,,,,,,,,,,,
,,,,8,8,5,4,,1,,4,2,,,,,5,,2,,,2,1,1,,,,,,,,,,,,,,
,,,,9,1,6,2,3,2,1,,1,4,,,2,6,2,,,,,,1,,,,,,,,,,,,,,
,,,,10,2,6,2,2,2,,,3,4,,,,6,2,,,2,2,,,,,,,,,,,,,,,,
,,,,11,3,6,3,2,2,1,,,2,,2,,6,,,,2,,,1,,,,,,,,,,,,,,
,,,,12,4,6,4,1,3,3,2,,2,,1,,6,1,,,,1,,1,1,,,,,,,,,,,,,
,,,,13,5,6,4,2,2,,3,,2,,,,6,,1,1,2,,,1,,,,,,,,,,,,,,
,,,,14,6,6,3,1,,1,3,,1,,,,6,2,1,1,2,,,1,,,2,,,,,,,,,,,
,,,,15,7,6,3,,,,3,2,3,,2,,5,2,,2,,2,,1,,,,,,,,,,,,,,
,,,,16,8,6,3,1,,,3,1,2,,2,,5,2,,,1,2,,2,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,BriMin,AirCar,CynEch,VulMyu,AveBar,HypGla,PetDub,TriHya,AnaArv,TriHir,Lotus Sp,VicSat,GalPar,UnkGrass,Sherardia,Torilis,SpikyHyp,,,,,,,,,,
SFREC,5/9/2017,3,2,1,1,7,5,2,1,1,3,2,4,,,,3,,2,,,,2,1,,,,,,,,,,,,,,
,,,,2,2,7,4,1,,,,3,3,,1,,5,2,,1,2,1,2,2,,,,,,,,,,,,,,
,,,,3,3,7,4,2,3,,2,,,,1,,6,3,,,,,,2,,,,,,,,,,,,,,
,,,,4,4,7,4,2,3,3,2,,,,2,,4,,,,1,,1,2,,,,,,,,,,,,,,
,,,,5,5,7,4,1,2,,1,,,,2,,5,,,,2,2,,1,,,,,,,,,,,,,,
,,,,6,6,7,4,,1,,2,,1,,,,6,2,2,,2,,2,1,,,,,,,,,,,,,,
,,,,7,7,7,4,2,,,3,,,,,,6,,2,,2,,1,1,,,,,,,,,,,,,,
,,,,8,8,7,4,,,,4,,,,,,6,,2,,1,,,,,,,,,,,,,,,,,
,,,,9,1,8,6,,,,,1,,,,,4,1,,,,,,1,,,,,,,,,,,,,,
,,,,10,2,8,5,,,,,,1,,,,5,2,2,,2,,,2,,,,,,,,,,,,,,
,,,,11,3,8,2,2,,,3,2,2,,,,6,3,,,1,,,2,,,,,,,,,,,,,,
,,,,12,4,8,3,1,,,4,,,,,,4,1,,1,,,3,,,,,,,,,,,,,,,
,,,,13,5,8,3,1,,,3,,,,2,,5,2,2,,3,1,2,1,,,,,,,,,,,,,,
,,,,14,6,8,4,1,,1,4,,,,,,5,,,,2,2,3,1,,,,,,,,,,,,,,
,,,,15,7,8,4,,1,1,3,,1,,2,,6,2,,,2,2,2,1,,,,,,,,,,,,,,
,,,,16,8,8,4,,,,3,,,,,,6,,,,2,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,BroSter,TaeCap,AirCar,BriMin,HypGla,GalPar,ClaPur,Torilis,TriHya,VicSat,TriHir,Lotus Sp,AveBar,WhiteFlower,CarPac,VulMyu,EupSpa,PetDub,AnaArv,,,,,,,,,,
SFREC,5/10/2017,4,1,1,1,1,,,3,,,,,4,2,,,,2,1,1,,,,,,,,,,,,,,,,,
,,,,2,2,1,,,3,,2,,,3,1,,2,,2,1,,1,,,,,,,,,,,,,,,,
,,,,3,3,1,1,,4,,,,,3,1,,1,,2,,1,,,,,,,,,,,,,,,,,
,,,,4,4,1,2,,5,,2,,,2,,2,1,1,3,,1,1,1,,,,,,,,,,,,,,,
,,,,5,5,1,3,,2,,,,,3,,,1,1,3,1,,2,,1,,,,,,,,,,,,,,
,,,,6,6,1,3,,2,,2,,,5,,,,,2,3,,2,,2,1,,,,,,,,,,,,,
,,,,7,7,1,4,,2,,3,,,5,1,,,,2,,,,,,,1,,,,,,,,,,,,
,,,,8,8,1,4,,3,,3,,,5,1,,,,1,2,,,,,,,,,,,,,,,,,,
,,,,9,1,2,,,3,,,,,3,1,,,,2,2,1,1,,,,,,,,,,,,,,,,
,,,,10,2,2,2,,3,,,,,4,,2,2,,2,2,1,1,1,1,,,,,,,,,,,,,,
,,,,11,3,2,3,,4,,2,,,3,1,,,,,3,,1,2,,,,2,,,,,,,,,,,
,,,,12,4,2,3,,3,,3,,,5,1,,,,,2,1,,2,,,,,,,,,,,,,,,
,,,,13,5,2,4,,2,,2,,,5,1,,,,,2,2,,2,,,,,,,,,,,,,,,
,,,,14,6,2,3,,2,,3,,,5,1,,,,2,2,,,,,,,2,1,,,,,,,,,,
,,,,15,7,2,3,,2,,4,,,4,,,,,2,,1,,,1,,,,,,,,,,,,,,
,,,,16,8,2,3,,,,3,,,5,,,,,2,,,,,1,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,TaeCap,AirCar,BriMin,AveBar,VulMyu,HypGla,GalPar,ClaPur,Torilis,TriHir,VicSat,Lotus Sp,EupSpa,WhiteFlower,CarPac,PetDub,AnaArv,Filago,Rock,Sherardia,CynEch,TriHya,,,,,,,
SFREC,5/10/2017,4,1,1,1,4,2,,5,3,,,,,4,1,,1,3,2,1,,,,,,1,,,,,,,,,,,
,,,,2,2,4,3,,3,2,,,1,,5,1,1,1,2,2,2,,,,,,,,,,,,,,,,,
,,,,3,3,4,4,,3,2,,,1,,5,,,,2,,2,,1,,,,,,,,,,,,,,,
,,,,4,4,4,3,,1,2,,,1,,6,,,,2,1,2,,2,,,,,,,,,,,,,,,
,,,,5,5,4,4,,3,3,,,2,,5,,,,2,,1,1,2,,,,,,,,,,,,,,,
,,,,6,6,4,3,,2,3,,,,,5,1,,,,,,,,,,,,,1,,,,,,,,,
,,,,7,7,4,3,,2,3,,,,,5,1,,,2,2,2,,,,,,,,,,,,,,,,,
,,,,8,8,4,3,,2,3,,,,1,5,1,,,2,,2,,,,,,,,1,,,,,,,,,
,,,,9,1,3,2,,4,,,,,,2,2,1,3,,,2,,,,,,1,,,,,,,,,,,
,,,,10,2,3,2,,3,,,,,,3,1,3,2,1,,2,,1,,,,1,2,,,,,,,,,,
,,,,11,3,3,3,,4,2,,,2,,4,1,,,,2,2,,2,,,,1,,,,,,,,,,,
,,,,12,4,3,3,,3,2,,,1,,5,,,,1,,1,,,,2,,,,,,,,,,,,,
,,,,13,5,3,4,,3,2,,,1,,5,1,,,2,,2,,1,,,1,,,,,,,,,,,,
,,,,14,6,3,3,,2,3,,,,,5,,,,2,,1,,1,1,,,,2,,,,,,,,,,
,,,,15,7,3,3,,2,3,,,,,4,1,2,,,2,2,,,,,,,,,1,,,,,,,,
,,,,16,8,3,4,,3,2,,,,,5,,,,1,,,1,,,,,,,,,2,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,TaeCap,AirCar,BriMin,AveBar,VulMyu,HypGla,GalPar,ClaPur,Torilis,TriHir,VicSat,Lotus Sp,EupSpa,WhiteFlower,CarPac,PetDub,AnaArv,Filago,Rock,Sherardia,CynEch,TriHya,Yellow (Lagophylla),,,,,,
SFREC,5/10/2017,4,1,1,1,5,3,,3,4,,,2,,3,1,3,2,,,1,,,,,,1,,,,,1,,,,,,
,,,,2,2,5,4,,3,3,,,2,,3,,3,2,1,2,2,,,,,,,,,,,2,,,,,,
,,,,3,3,5,4,,1,1,,,2,,4,1,,,1,,2,,,1,,,,,,,,1,,,,,,
,,,,4,4,5,3,,2,2,,,2,,5,,,,,,,,,,,,,,,,,1,,,,,,
,,,,5,5,5,3,,2,1,,,1,,6,1,,,,,,,2,,,1,,,,,1,,,,,,,
,,,,6,6,5,4,,3,3,,,,,4,1,,,2,,2,1,,,,,,,,,,,,,,,,
,,,,7,7,5,3,,2,2,,,,,5,,,,2,,,,,,,,,,,1,,2,,,,,,
,,,,8,8,5,3,,2,4,,,,,4,1,3,,2,1,,,,2,,,,,1,,,,,,,,,
,,,,9,1,6,3,,4,3,,,2,,,1,,2,,2,,,,,,,1,,,,,,,,,,,
,,,,10,2,6,2,,4,2,,,2,,,,,2,,,,,,,,,,,1,,,,,,,,,
,,,,11,3,6,3,,2,1,,,3,,4,1,,,,2,,,,,,,,,,,,,,,,,,
,,,,12,4,6,3,,3,1,,,3,,4,1,,,,1,,,,,,,,,,,,,,,,,,
,,,,13,5,6,4,,4,2,,,2,,5,,,,,2,,,,1,,,,,1,,,,,,,,,
,,,,14,6,6,4,,3,2,,,1,,5,,,,1,2,,,,2,,,,,,,,,,,,,,
,,,,15,7,6,4,,3,2,,,2,,5,,,,3,2,1,,,2,,,,,,,,,,,,,,
,,,,16,8,6,4,,3,,,,4,,3,2,3,1,1,2,,,,,,,,,1,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroMad,BroDia,TaeCap,AirCar,BriMin,AveBar,VulMyu,HypGla,GalPar,ClaPur,Torilis,TriHir,VicSat,Lotus Sp,EupSpa,WhiteFlower,CarPac,PetDub,AnaArv,Filago,Rock,Sherardia,CynEch,TriHya,Yellow (Lagophylla),LolMul,,,,,
SFREC,5/10/2017,4,1,1,1,7,3,,4,3,,,2,,3,2,2,,,,2,,,,2,,,,,,,,,,,,,
