Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriWhite,MadGra,NavPub,TriPlate,ClaPur,LolMul,AnaArv,SilGal,TriHir,GalPar,
Site,Date,Block,Plot,Subplot,X,Y,TriDub,HypGla,LupBic,GerDis,VicVel,WhiteBrush,TriWil,AmsMen,GalPar,TriFuc,AirCar,Bare,Gopher,TriEri,,,,,,
MCL,4/24/2017,1,1,1,1,1,3,2,,2,2,,,,,,,,,,,,,,,
,,,,2,2,1,5,3,,2,2,,,,,,,,,,,,,,,
,,,,3,3,1,4,5,,2,,,,,1,,,,,,,,,,,
,,,,4,4,1,5,3,,2,2,,,,1,,,3,3,,,,,,,
,,,,5,5,1,3,5,2,2,3,,1,,1,,,,,,,,,,,
,,,,6,6,1,3,5,1,2,,,1,1,,2,,3,3,1,,,,,,
,,,,7,7,1,3,6,1,1,1,,,,1,1,,,,1,,,,,,
,,,,8,8,1,3,5,2,2,2,2,,,,,,,,2,,,,,,
,,,,9,1,2,2,1,,1,,,,,,,1,,,1,,,,,,
,,,,10,2,2,6,3,,2,2,,1,,1,1,,,,,,,,,,
,,,,11,3,2,4,3,,2,3,,,,1,,,3,3,,,,,,,
,,,,12,4,2,6,3,,2,4,,,,,,,,,,,,,,,
,,,,13,5,2,4,6,,2,3,,,,,,,,,,,,,,,
,,,,14,6,2,5,4,2,1,,,,,1,,,,,2,,,,,,
,,,,15,7,2,4,5,,1,,,1,,,2,,,,,,,,,,
,,,,16,8,2,3,6,1,,,1,,,1,1,,2,2,3,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,TriEri,AmsMen,TriDub,LupBic,HypGla,VicVel,TriWil,WhiteBrush,GerDis,Bare,Gopher,TriFuc,GalPar,AirCar,,,,,,
MCL,3/29/2017,1,1,1,1,3,2,,4,,5,,1,2,2,,,,,,,,,,,
,,,,2,2,3,,,4,2,6,,1,,2,,,,,,,,,,,
,,,,3,3,3,,,4,,4,3,,,3,3,3,,,,,,,,,
,,,,4,4,3,,,4,,3,,,,3,,,,,,,,,,,
,,,,5,5,3,,,3,,3,,,,2,4,4,1,1,,,,,,,
,,,,6,6,3,,,4,2,4,,,,2,,,,,,,,,,,
,,,,7,7,3,,,3,,5,,,1,1,4,4,1,1,,,,,,,
,,,,8,8,3,,,4,2,6,,,,2,,,,1,,,,,,,
,,,,9,1,4,2,,3,2,3,,,,,,,2,,,,,,,,
,,,,10,2,4,,,3,,4,,,,2,,,1,,,,,,,,
,,,,11,3,4,,,5,2,4,2,,,2,,,,,,,,,,,
,,,,12,4,4,,,4,,4,3,2,,2,,,,,,,,,,,
,,,,13,5,4,,,4,,4,,2,,1,3,3,,,1,,,,,,
,,,,14,6,4,3,,2,,6,,,,,,,,,,,,,,,
,,,,15,7,4,1,,3,2,5,,,,,3,3,,1,,,,,,,
,,,,16,8,4,2,,3,,4,,,2,,2,2,,1,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,HypGla,LupBic,VicVel,TriEri,AmsMen,TriDub,TriWil,GerDis,WhiteBrush,Bare,Gopher,GalPar,TriFuc,AirCar,MicCal,,,,,
MCL,3/30/2017,1,1,1,1,5,,0,3,,1,4,,,,,,,,,,,,,,
,,,,2,2,5,3,1,2,2,,5,,,1,,,,,,,,,,,
,,,,3,3,5,2,,3,5,,,1,1,,,,,,,,,,,,
,,,,4,4,5,2,2,5,,,4,,1,,3,3,,,,,,,,,
,,,,5,5,5,2,1,4,,,4,,,,,,,,,,,,,,
,,,,6,6,5,2,2,3,,,5,,,,,,1,,,,,,,,
,,,,7,7,5,1,1,2,,,5,,1,,,,,,,,,,,,
,,,,8,8,5,3,1,3,,,5,,,3,,,1,1,,,,,,,
,,,,9,1,6,3,,4,,,4,,1,,,,,,,,,,,,
,,,,10,2,6,2,2,4,,,5,,2,,,,1,,,,,,,,
,,,,11,3,6,3,1,2,,,5,,,,,,1,,,,,,,,
,,,,12,4,6,,,4,,,5,,,,,,,,,,,,,,
,,,,13,5,6,2,,4,,,5,,2,,,,,,,,,,,,
,,,,14,6,6,2,2,4,,,4,,2,1,,,,,,,,,,,
,,,,15,7,6,3,,2,,,4,,1,,,,,,,,,,,,
,,,,16,8,6,5,,3,,,5,,2,1,,,,1,1,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,HypGla,LupBic,VicVel,TriEri,AmsMen,TriDub,TriWil,GerDis,GalPar,AirCar,Bare,Gopher,CarPac,TriFuc,WhiteBrush,Unk VicSat?,,,,
MCL,3/30/2017,1,1,1,1,7,,2,4,,,5,,,1,,,,,,,,,,,
,,,,2,2,7,2,2,4,,,5,,,,,,,,,,,,,,
,,,,3,3,7,1,2,3,,,5,,2,,1,,,,,,,,,,
,,,,4,4,7,,,4,,,4,,2,1,,3,3,1,,,,,,,
,,,,5,5,7,,,4,,,4,,1,1,,,,,,,,,,,
,,,,6,6,7,2,,3,,,4,,,1,1,,,,,,,,,,
,,,,7,7,7,2,,3,,,3,,,,,,,,,,,,,,
,,,,8,8,7,,1,2,2,,5,,1,,1,,,,1,,,,,,
,,,,9,1,8,1,,4,,,4,,1,1,,,,,,,,,,,
,,,,10,2,8,,,3,,,3,,,1,,,,,,,,,,,
,,,,11,3,8,,,3,,,5,,1,,,,,1,,,,,,,
,,,,12,4,8,,,5,,,2,,,1,,2,2,,,,,,,,
,,,,13,5,8,,2,3,,,5,1,1,,,2,2,,,2,,,,,
,,,,14,6,8,1,3,3,,,4,2,2,,,,,,,,,,,,
,,,,15,7,8,3,2,3,,,3,,1,,1,,,,,1,,,,,
,,,,16,8,8,5,1,2,,,3,1,,,1,2,,,,2,1,,,,
Site,Date,Block,Plot,Subplot,X,Y,TriDub,HypGla,GerDis,TriEri,Bare,Gopher,WhiteBrush,GalPar,UnkVetch,AirCar,MicCal,LupBic,TriWil,,,,,,,
MCL,3/30/2017,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,5,2,2,,,,,,,,,,,,,,,,
,,,,3,3,1,2,4,2,,4,4,2,1,,,,,,,,,,,,
,,,,4,4,1,,5,2,,4,4,1,,1,,,,,,,,,,,
,,,,5,5,1,1,4,,,,,,,2,,,,,,,,,,,
,,,,6,6,1,2,5,,2,,,2,,,,,,,,,,,,,
,,,,7,7,1,2,3,,,,,,,2,1,,,,,,,,,,
,,,,8,8,1,3,6,,1,3,3,,,2,2,,,,,,,,,,
,,,,9,1,2,3,3,,3,,,,,,,,,,,,,,,,
,,,,10,2,2,3,5,,,3,3,,1,,,,1,,,,,,,,
,,,,11,3,2,2,6,,,,,3,1,1,,,,,,,,,,,
,,,,12,4,2,2,5,,,,,2,1,2,,,,,,,,,,,
,,,,13,5,2,1,5,,2,,,3,,2,,,1,,,,,,,,
,,,,14,6,2,2,3,,,,,3,,2,,,,,,,,,,,
,,,,15,7,2,2,5,,1,,,,,1,,,,,,,,,,,
,,,,16,8,2,2,4,,,,,2,1,,1,1,,2,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,TriDub,HypGla,GerDis,TriEri,Bare,Gopher,WhiteBrush,GalPar,UnkVetch,AirCar,MicCal,LupBic,TriWil,TriFuc,CerGlo,,,,,
MCL,3/30/2017,1,2,1,1,3,3,6,,,,,2,,1,,,1,,,,,,,,
,,,,2,2,3,5,4,,2,,,,,,,,,,,,,,,,
,,,,3,3,3,2,5,,,,,2,,1,,,1,,1,,,,,,
,,,,4,4,3,3,6,,,,,2,1,2,1,,1,1,1,,,,,,
,,,,5,5,3,2,6,,2,,,2,,2,,,2,,,,,,,,
,,,,6,6,3,2,5,,,,,2,,1,,,1,1,,,,,,,
,,,,7,7,3,2,5,,,,,,,2,,,1,2,,,,,,,
,,,,8,8,3,1,6,,,,,2,,2,,,,1,,,,,,,
,,,,9,1,4,3,5,,1,,,2,,1,1,,,,1,,,,,,
,,,,10,2,4,3,5,,2,,,3,,1,1,,,,,,,,,,
,,,,11,3,4,2,5,,,,,1,1,2,,,1,,1,1,,,,,
,,,,12,4,4,2,4,,,3,3,2,1,3,,,,,,,,,,,
,,,,13,5,4,2,6,,2,,,2,,3,,,,,2,,,,,,
,,,,14,6,4,2,6,,2,,,1,1,3,1,,,,,,,,,,
,,,,15,7,4,1,6,,2,,,1,,3,,,,,,,,,,,
,,,,16,8,4,1,6,,,,,,,2,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,HypGla,TriEri,WhiteBrush,TriDub,LupBic,Unk VicSat?,GalPar,TriFuc,AirCar,TriWil,GerDis,Bare,Gopher,Rock,UnkFlower,,,,,
MCL,3/30/2017,1,2,1,1,5,4,2,2,2,1,,,,,,,,,,,,,,,
,,,,2,2,5,3,,1,2,,2,1,1,,,,,,,,,,,,
,,,,3,3,5,2,1,1,1,,2,1,,1,,,,,,,,,,,
,,,,4,4,5,3,2,1,2,1,2,1,,,,,,,,,,,,,
,,,,5,5,5,5,1,,2,,2,1,,,1,,,,,,,,,,
,,,,6,6,5,5,1,2,,,2,1,1,,,,,,,,,,,,
,,,,7,7,5,5,1,,1,,2,1,1,,,,,,,,,,,,
,,,,8,8,5,4,,,,,1,1,,,,,,,,,,,,,
,,,,9,1,6,4,1,3,2,,1,,,,,1,,,,,,,,,
,,,,10,2,6,3,,2,1,,,1,,,,1,,,,,,,,,
,,,,11,3,6,3,3,3,2,,1,1,,,,,3,3,1,,,,,,
,,,,12,4,6,5,,1,2,1,1,1,,,,,3,3,,1,,,,,
,,,,13,5,6,4,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,14,6,6,5,,2,,1,1,1,,,,,,,,,,,,,
,,,,15,7,6,4,1,1,2,1,2,1,,,,,2,2,,,,,,,
,,,,16,8,6,4,,,2,,2,,1,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,HypGla,TriEri,WhiteBrush,TriDub,LupBic,Unk VicSat?,GalPar,TriFuc,AirCar,TriWil,GerDis,Bare,Gopher,VicVel,Hoof,TriGra,,,,
MCL,3/30/2017,1,2,1,1,7,3,3,3,3,1,,,1,,,,,,,,,,,,
,,,,2,2,7,4,1,3,1,1,1,,2,,,,,,,,,,,,
,,,,3,3,7,3,,1,1,1,1,,,,,,,,,,,,,,
,,,,4,4,7,4,2,,2,,1,1,,,,,2,2,,,,,,,
,,,,5,5,7,5,,2,1,,1,,,,,,2,,,2,,,,,
,,,,6,6,7,5,2,3,2,,,,,,,,,,,,,,,,
,,,,7,7,7,5,,2,1,,1,,1,,,,,,,,,,,,
,,,,8,8,7,6,2,,,,2,,,,,1,,,,,,,,,
,,,,9,1,8,3,3,2,3,,,,1,,,,,,1,,,,,,
,,,,10,2,8,4,3,3,2,1,,1,1,,2,1,,,,,3,,,,
,,,,11,3,8,5,2,2,2,1,1,,1,,,,3,3,,,,,,,
,,,,12,4,8,4,,,2,,,,,,,,,,,,,,,,
,,,,13,5,8,3,2,1,2,1,,,2,,,,,,,,,,,,
,,,,14,6,8,6,,1,2,,1,1,,,,,,,,,,,,,
,,,,15,7,8,4,,1,1,,2,,,,,,,,,,,,,,
,,,,16,8,8,4,1,,1,,1,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,VicVel,HypGla,TriDub,GerDis,TriEri,TriDub,LupBic,Bare,Gopher,WhiteBrush,TriFuc,,,,,,,,,
MCL,3/28/2017,2,1,1,1,1,5,6,,2,,1,,,,,,,,,,,,,,
,,,,2,2,1,4,6,3,3,,,2,,,,,,,,,,,,,
,,,,3,3,1,3,6,3,3,,,,2,2,,,,,,,,,,,
,,,,4,4,1,,6,,3,3,,2,,,,,,,,,,,,,
,,,,5,5,1,2,6,,4,,,2,,,,,,,,,,,,,
,,,,6,6,1,3,5,2,3,,,,,,,,,,,,,,,,
,,,,7,7,1,,6,,3,,,2,,,1,,,,,,,,,,
,,,,8,8,1,4,3,2,4,,,,,,,,,,,,,,,,
,,,,9,1,2,3,6,,3,,,2,,,,,,,,,,,,,
,,,,10,2,2,3,5,,3,,,1,,,,,,,,,,,,,
,,,,11,3,2,2,6,3,3,,,,,,,,,,,,,,,,
,,,,12,4,2,3,5,,3,,,,,,2,,,,,,,,,,
,,,,13,5,2,,3,,3,,,1,2,2,,,,,,,,,,,
,,,,14,6,2,6,,,3,,,,,,,,,,,,,,,,
,,,,15,7,2,4,3,,3,,,,,,2,,,,,,,,,,
,,,,16,8,2,4,5,4,,,,,,,,1,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,VicVel,HypGla,TriDub,LupBic,TriEri,GerDis,TriFuc,Bare,Gopher,GalPar,WhiteBrush,,,,,,,,,
MCL,3/28/2017,2,1,1,1,3,,5,,1,,3,,,,,,,,,,,,,,
,,,,2,2,3,2,5,,,,3,,,,,,,,,,,,,,
,,,,3,3,3,,5,,1,,3,,,,,,,,,,,,,,
,,,,4,4,3,,6,1,,,4,,,,,,,,,,,,,,
,,,,5,5,3,3,3,3,2,,3,,,,,,,,,,,,,,
,,,,6,6,3,2,5,4,1,,3,,,,,,,,,,,,,,
,,,,7,7,3,4,6,,1,,4,,,,,,,,,,,,,,
,,,,8,8,3,2,4,,1,,3,,,,,,,,,,,,,,
,,,,9,1,4,3,5,,2,,3,2,,,,,,,,,,,,,
,,,,10,2,4,2,4,,2,,2,,,,,,,,,,,,,,
,,,,11,3,4,,3,,2,,2,,,,,,,,,,,,,,
,,,,12,4,4,,3,,1,,2,,,,,,,,,,,,,,
,,,,13,5,4,3,4,,3,,3,,3,3,1,1,,,,,,,,,
,,,,14,6,4,2,2,,1,,3,,2,2,,,,,,,,,,,
,,,,15,7,4,2,2,2,1,,3,,,,,,,,,,,,,,
,,,,16,8,4,4,5,,1,,4,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,TriDub,LupBic,TriFuc,VicVel,TriEri,HypGla,GerDis,ConArv,WhiteBrush,,,,,,,,,,,
MCL,3/28/2017,2,1,1,1,5,,1,,2,,4,2,,,,,,,,,,,,,
,,,,2,2,5,,2,,,,2,1,,,,,,,,,,,,,
,,,,3,3,5,,1,,,,3,2,,,,,,,,,,,,,
,,,,4,4,5,,2,,3,1,4,2,2,,,,,,,,,,,,
,,,,5,5,5,1,1,,2,,1,2,2,,,,,,,,,,,,
,,,,6,6,5,2,1,,3,,2,2,,,,,,,,,,,,,
,,,,7,7,5,,,,3,,2,2,,,,,,,,,,,,,
,,,,8,8,5,1,1,2,4,,4,3,,,,,,,,,,,,,
,,,,9,1,6,,2,,3,,2,2,,,,,,,,,,,,,
,,,,10,2,6,,2,,,,5,1,,,,,,,,,,,,,
,,,,11,3,6,,2,,,1,4,2,,1,,,,,,,,,,,
,,,,12,4,6,,2,1,,,6,2,2,,,,,,,,,,,,
,,,,13,5,6,2,2,,3,,5,2,,,,,,,,,,,,,
,,,,14,6,6,,,,3,,1,2,,,,,,,,,,,,,
,,,,15,7,6,,1,,2,,1,2,,,,,,,,,,,,,
,,,,16,8,6,,,,3,,2,3,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,TriDub,LupBic,TriFuc,MicCal,VicVel,TriEri,HypGla,GerDis,ConArv,Bare,GalPar,Hole,CerGlo,SisBel,,,,,,
MCL,3/28/2017,2,1,1,1,7,,1,,,2,,2,2,,,,,,,,,,,,
,,,,2,2,7,,1,,,2,,4,1,,3,,,,,,,,,,
,,,,3,3,7,,2,,,,,2,2,,4,,,,,,,,,,
,,,,4,4,7,,3,,,,,6,3,,,,,,,,,,,,
,,,,5,5,7,,2,,,,,5,2,,,1,,,,,,,,,
,,,,6,6,7,,,,,1,,5,3,,,,,,,,,,,,
,,,,7,7,7,,1,,,1,,3,3,,,,,,,,,,,,
,,,,8,8,7,,,,,3,,2,3,,,,,,,,,,,,
,,,,9,1,8,2,2,,,4,,3,2,,,,,,,,,,,,
,,,,10,2,8,2,1,,,2,,2,2,,,,,,,,,,,,
,,,,11,3,8,1,2,,,,,3,2,,2,,1,,,,,,,,
,,,,12,4,8,2,2,,1,,,4,2,,,1,,,,,,,,,
,,,,13,5,8,,1,,,,,4,2,,,,,,,,,,,,
,,,,14,6,8,3,1,,,,,2,3,,,,,1,,,,,,,
,,,,15,7,8,,1,,,,,3,3,,,,,,,,,,,,
,,,,16,8,8,,2,2,,2,,5,3,,,,,,3,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,HypGla,VicVel,LupBic,GerDis,WhiteBrush,Bare,Gopher,Acmispon,TriFuc,MicCal,TriDub,TriEri,,,,,,,,
MCL,3/28/2017,2,2,1,1,1,5,2,2,4,,,,,,,,,,,,,,,,
,,,,2,2,1,6,,,4,2,2,2,2,,,,,,,,,,,,
,,,,3,3,1,6,3,1,4,,,,,,,,,,,,,,,,
,,,,4,4,1,4,,3,3,,,,,,,,,,,,,,,,
,,,,5,5,1,6,,3,3,1,,,3,,,,,,,,,,,,
,,,,6,6,1,5,,3,3,2,,,3,2,,,,,,,,,,,
,,,,7,7,1,2,,2,2,3,,,2,,2,4,,,,,,,,,
,,,,8,8,1,3,,2,,4,,,3,,,,,,,,,,,,
,,,,9,1,2,6,3,2,3,,,,2,2,,,,,,,,,,,
,,,,10,2,2,5,,2,3,,,,,,,,,,,,,,,,
,,,,11,3,2,5,,,3,2,,,3,2,,,1,,,,,,,,
,,,,12,4,2,4,,2,4,,,,2,,,,,,,,,,,,
,,,,13,5,2,5,2,2,4,,,,,,,1,,,,,,,,,
,,,,14,6,2,4,2,2,4,,,,2,,,2,,,,,,,,,
,,,,15,7,2,2,1,3,2,,,,4,,4,4,,,,,,,,,
,,,,16,8,2,3,3,2,3,,1,,4,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,HypGla,VicVel,LupBic,TriFuc,GerDis,PlaNot,WhiteBrush,Bare,TriDub,Gopher,GalPar,MicCal,Acmispon,TriEri,TriWil,,,,,
MCL,3/28/2017,2,2,1,1,3,6,,2,2,3,1,1,2,,,,,,,,,,,,
,,,,2,2,3,5,1,,,2,,,,2,,,,,,,,,,,
,,,,3,3,3,4,,,,3,,,3,,2,3,,,,,,,,,
,,,,4,4,3,6,,2,1,2,,2,,,,,,,,,,,,,
,,,,5,5,3,5,,3,1,,,2,,1,,,2,2,,,,,,,
,,,,6,6,3,4,,1,,,,,4,3,4,1,2,,,,,,,,
,,,,7,7,3,2,,2,,2,,2,3,5,3,,2,,2,,,,,,
,,,,8,8,3,3,,2,,,,3,,3,,,2,5,,,,,,,
,,,,9,1,4,5,,1,2,4,,,2,,,,,,,,,,,,
,,,,10,2,4,4,,2,,3,,,,,,,,,,,,,,,
,,,,11,3,4,4,,2,1,3,,,,,,,,2,,,,,,,
,,,,12,4,4,5,,2,1,3,,,,,,,,,,,,,,,
,,,,13,5,4,5,,1,1,,,2,,,,,3,4,,,,,,,
,,,,14,6,4,5,,,,3,,,,2,,,3,4,,2,,,,,
,,,,15,7,4,2,,,,,,2,3,2,3,,3,,,,,,,,
,,,,16,8,4,2,,,,,,4,,3,,,2,4,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,TriDub,LupBic,TriFuc,MicCal,VicVel,TriEri,HypGla,GerDis,ConArv,GalPar,Bare,Hole,CerGlo,SisBel,Acmispon,WhiteBrush,,,,
MCL,3/28/2017,2,2,1,1,5,,1,,,2,,4,3,,,,,,,,,,,,
,,,,2,2,5,,,,,3,,3,3,,,,,,,,,,,,
,,,,3,3,5,,1,,,4,,4,3,,,,,,,,,,,,
,,,,4,4,5,,1,,,,,6,3,,,,,,,2,,,,,
,,,,5,5,5,3,2,,,,,5,3,,,,,,,2,,,,,
,,,,6,6,5,2,2,,,3,,2,2,,,,,,,0,,,,,
,,,,7,7,5,6,3,,2,2,2,3,1,,,,,,,3,2,,,,
,,,,8,8,5,3,3,2,2,2,,4,1,,1,,,,,4,3,,,,
,,,,9,1,6,,,2,,1,,4,2,,,,,,,,,,,,
,,,,10,2,6,,1,,,2,,3,3,,,,,,,,,,,,
,,,,11,3,6,,,2,,2,,1,3,,,,,,,,,,,,
,,,,12,4,6,,2,,,2,,3,3,,,,,,,1,,,,,
,,,,13,5,6,,3,,,2,,3,3,,,,,,,,,,,,
,,,,14,6,6,3,2,2,,1,,3,,,,,,,,,,,,,
,,,,15,7,6,1,1,1,,2,,2,2,,,,,,,2,,,,,
,,,,16,8,6,,2,,3,,,4,2,,,,,,,3,3,,,,
Site,Date,Block,Plot,Subplot,X,Y,TriDub,LupBic,TriFuc,MicCal,VicVel,HypGla,GerDis,ConArv,GalPar,Hole,Bare,CerGlo,SiSbel,Acmispon,WhiteBrush,TriEri,,,,
MCL,3/28/2017,2,2,1,1,7,,2,,,3,4,3,,,,,,,,1,1,,,,
,,,,2,2,7,,1,,,1,3,3,,,,,,,,,,,,,
,,,,3,3,7,2,,,,3,2,3,,,,,,,,,,,,,
,,,,4,4,7,,1,,,3,4,3,,,,,,,,,,,,,
,,,,5,5,7,,2,1,,,3,2,,,,,,,,,,,,,
,,,,6,6,7,3,1,,,1,3,2,,,,,,,,,,,,,
,,,,7,7,7,,2,,2,3,6,2,,,,,,,,,,,,,
,,,,8,8,7,,3,3,4,2,3,2,,,,,,,2,,,,,,
,,,,9,1,8,,2,,,,6,4,,,,,,,,2,,,,,
,,,,10,2,8,2,2,,,3,4,3,,,,,,,2,,,,,,
,,,,11,3,8,,2,1,,3,3,2,,,,,,,2,3,,,,,
,,,,12,4,8,,2,,,2,5,3,,,,,,,2,,,,,,
,,,,13,5,8,,3,,2,,5,2,,,,,,,,,,,,,
,,,,14,6,8,,2,1,1,,3,2,,,,,,,2,,,,,,
,,,,15,7,8,,3,1,,2,3,2,,,,,,,2,1,,,,,
,,,,16,8,8,,3,1,,1,3,1,,,,,,,3,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,LupBic,EroCic,HypGla,VicVel,MicCal,WhiteBrush,GalPar,AirCar,TriFuc,BriMin,CerGlo,,,,,,,,,
MCL,3/27/2017,3,1,1,1,1,1,3,3,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,3,3,3,1,,,,,,,,,,,,,,,
,,,,3,3,1,2,2,4,3,1,2,,,,,,,,,,,,,,
,,,,4,4,1,2,2,3,3,,1,2,,,,,,,,,,,,,
,,,,5,5,1,2,3,2,3,,1,1,,1,,,,,,,,,,,
,,,,6,6,1,2,3,3,2,2,2,1,,2,,,,,,,,,,,
,,,,7,7,1,2,3,4,2,2,,1,,1,,,,,,,,,,,
,,,,8,8,1,3,4,5,,4,3,2,2,,,,,,,,,,,,
,,,,9,1,2,2,3,4,4,,2,1,,,,,,,,,,,,,
,,,,10,2,2,2,2,2,3,,,1,1,,,,,,,,,,,,
,,,,11,3,2,1,,2,5,2,,1,,2,2,,,,,,,,,,
,,,,12,4,2,1,2,1,4,2,,1,,,,,,,,,,,,,
,,,,13,5,2,2,2,3,4,1,,1,,,,,,,,,,,,,
,,,,14,6,2,2,2,3,2,2,2,,,,2,,,,,,,,,,
,,,,15,7,2,3,2,6,4,4,,1,,,,,,,,,,,,,
,,,,16,8,2,4,3,6,,3,3,1,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,LupBic,EroCic,HypGla,VicVel,MicCal,WhiteBrush,GalPar,Aircar,TriFc,BriMin,CerGlo,Bare,Gopher,,,,,,,
MCL,3/27/2017,3,1,1,1,3,,3,4,2,3,1,,1,,,2,,,,,,,,,
,,,,2,2,3,2,2,4,3,2,,1,,,,,,,,,,,,,
,,,,3,3,3,3,1,2,3,2,,,,,,,,,,,,,,,
,,,,4,4,3,3,2,3,3,,,1,,,,,,,,,,,,,
,,,,5,5,3,3,2,5,3,2,1,1,,,,,,,,,,,,,
,,,,6,6,3,1,2,4,3,3,4,1,2,,,,,,,,,,,,
,,,,7,7,3,3,2,6,3,2,2,,,,,,,,,,,,,,
,,,,8,8,3,3,2,5,2,2,,1,1,1,,,,,,,,,,,
,,,,9,1,4,1,,2,2,2,2,,1,,,,,,,,,,,,
,,,,10,2,4,2,,3,4,1,1,1,,,,,,,,,,,,,
,,,,11,3,4,2,,3,3,,,,,,,,,,,,,,,,
,,,,12,4,4,3,,4,4,,,1,,,,,,,,,,,,,
,,,,13,5,4,3,,6,3,,,1,,,,,,,,,,,,,
,,,,14,6,4,3,,5,2,2,,,,,,,,,,,,,,,
,,,,15,7,4,3,,6,3,3,2,1,,,,,,,,,,,,,
,,,,16,8,4,3,,5,3,2,1,1,,1,,,3,3,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,LupBic,HypGla,VicVel,MicCal,WhiteBrush,GalPar,AirCar,TriFuc,BriMin,CerGlo,Bare,Gopher,,,,,,,,
MCL,3/27/2017,3,1,1,1,5,1,3,2,2,2,1,,1,,1,,,,,,,,,,
,,,,2,2,5,1,3,3,3,2,,,,,,,,,,,,,,,
,,,,3,3,5,3,3,2,3,2,,,,,,,,,,,,,,,
,,,,4,4,5,2,3,4,2,,2,,,,,,,,,,,,,,
,,,,5,5,5,4,7,2,3,,1,,,,,,,,,,,,,,
,,,,6,6,5,3,6,1,2,2,,1,,,,,,,,,,,,,
,,,,7,7,5,3,7,,2,3,1,1,,,,,,,,,,,,,
,,,,8,8,5,3,6,,2,3,,1,,,1,,,,,,,,,,
,,,,9,1,6,2,6,,,3,,,,1,3,,,,,,,,,,
,,,,10,2,6,2,3,2,5,2,,,,,,,,,,,,,,,
,,,,11,3,6,2,3,3,3,,1,,,,,,,,,,,,,,
,,,,12,4,6,3,4,4,,,1,,,1,,,,,,,,,,,
,,,,13,5,6,4,6,3,,,1,,,,,,,,,,,,,,
,,,,14,6,6,4,7,2,,2,1,,,,,,,,,,,,,,
,,,,15,7,6,3,7,,,3,1,,,,,,,,,,,,,,
,,,,16,8,6,4,6,,3,2,2,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,LupBic,EroCic,HypGla,VicVel,MicCal,WhiteBrush,GalPar,AirCar,TriFuc,BriMin,CerGlo,Bare,Gopher,LittleUnk,,,,,,
MCL,3/27/2017,3,1,1,1,7,2,,3,1,2,,,,,,,,,,,,,,,
,,,,2,2,7,3,,5,2,2,,1,,,,,,,,,,,,,
,,,,3,3,7,1,,2,2,,,1,,,,,,,,,,,,,
,,,,4,4,7,2,,5,3,,1,,,,,,,,,,,,,,
,,,,5,5,7,3,,7,1,3,,,,,,,,,,,,,,,
,,,,6,6,7,4,,7,,,2,1,,,,,,,,,,,,,
,,,,7,7,7,4,,7,,1,2,,,,,,,,,,,,,,
,,,,8,8,7,3,,7,,1,2,3,,,,,,,,,,,,,
,,,,9,1,8,1,,2,1,1,,,,,,,,,,,,,,,
,,,,10,2,8,1,,0,3,,,,,,,,,,,,,,,,
,,,,11,3,8,3,,3,3,2,,1,,,,,,,,,,,,,
,,,,12,4,8,3,,3,3,4,2,,,,,,,,,,,,,,
,,,,13,5,8,3,,6,3,3,,1,,,,,,,,,,,,,
,,,,14,6,8,4,,7,2,,,,,1,,,,,,,,,,,
,,,,15,7,8,4,,7,,,,1,,1,,,,,,,,,,,
,,,,16,8,8,3,,6,,2,,1,,,,,,,1,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,HypGla,LupBic,GalPar,Gilia,WhiteBrush,VicVel,TriEri,TriFuc,MicCal,Acmispon,AirCar,,,,,,,,,
MCL,3/27/2017,3,2,1,1,1,6,3,3,1,2,1,,,,,,,,,,,,,,
,,,,2,2,1,5,4,2,,,,,,1,,,,,,,,,,,
,,,,3,3,1,5,4,1,,,,,,,1,,,,,,,,,,
,,,,4,4,1,3,3,,2,2,,,,,,,,,,,,,,,
,,,,5,5,1,3,4,1,,2,,,,,,2,,,,,,,,,
,,,,6,6,1,4,5,2,2,,,,,,,,,,,,,,,,
,,,,7,7,1,4,3,2,,1,2,,,,,,,,,,,,,,
